,location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
99,3394396,Nairobi CMR,pm25,20.2,µg/m³,2025-03-17T15:00:00Z,2025-03-17T18:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
100,3394396,Nairobi CMR,pm25,22.6,µg/m³,2025-03-17T16:00:00Z,2025-03-17T19:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
101,3394396,Nairobi CMR,pm25,23.3,µg/m³,2025-03-17T17:00:00Z,2025-03-17T20:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
102,3394396,Nairobi CMR,pm25,27.4,µg/m³,2025-03-17T18:00:00Z,2025-03-17T21:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
103,3394396,Nairobi CMR,pm25,38.4,µg/m³,2025-03-17T19:00:00Z,2025-03-17T22:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
104,3394396,Nairobi CMR,pm25,37.4,µg/m³,2025-03-17T20:00:00Z,2025-03-17T23:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
105,3394396,Nairobi CMR,pm25,31.3,µg/m³,2025-03-17T21:00:00Z,2025-03-18T00:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
106,3394396,Nairobi CMR,pm25,21.1,µg/m³,2025-03-17T22:00:00Z,2025-03-18T01:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
107,3394396,Nairobi CMR,pm25,22.2,µg/m³,2025-03-17T23:00:00Z,2025-03-18T02:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
108,3394396,Nairobi CMR,pm25,18.5,µg/m³,2025-03-18T00:00:00Z,2025-03-18T03:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
109,3394396,Nairobi CMR,pm25,16.6,µg/m³,2025-03-18T01:00:00Z,2025-03-18T04:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
110,3394396,Nairobi CMR,pm25,14.0,µg/m³,2025-03-18T02:00:00Z,2025-03-18T05:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
111,3394396,Nairobi CMR,pm25,14.8,µg/m³,2025-03-18T03:00:00Z,2025-03-18T06:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
112,3394396,Nairobi CMR,pm25,16.5,µg/m³,2025-03-18T04:00:00Z,2025-03-18T07:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
113,3394396,Nairobi CMR,pm25,17.2,µg/m³,2025-03-18T05:00:00Z,2025-03-18T08:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
114,3394396,Nairobi CMR,pm25,15.7,µg/m³,2025-03-18T06:00:00Z,2025-03-18T09:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
115,3394396,Nairobi CMR,pm25,16.3,µg/m³,2025-03-18T07:00:00Z,2025-03-18T10:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
116,3394396,Nairobi CMR,pm25,14.6,µg/m³,2025-03-18T08:00:00Z,2025-03-18T11:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
117,3394396,Nairobi CMR,pm25,16.6,µg/m³,2025-03-18T09:00:00Z,2025-03-18T12:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
118,3394396,Nairobi CMR,pm25,18.4,µg/m³,2025-03-18T10:00:00Z,2025-03-18T13:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
119,3394396,Nairobi CMR,pm25,15.1,µg/m³,2025-03-18T11:00:00Z,2025-03-18T14:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
120,3394396,Nairobi CMR,pm25,14.8,µg/m³,2025-03-18T12:00:00Z,2025-03-18T15:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
